"","indiv_ID","tree.id","leaf_num","seed_mass","area","thickness","lma","seed_num","site","island","species","indiv"
"186","GUA.1.NBLAS","1",5,0.1731,734.9784261,0.188,0.00023551711703773,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"187","GUA.1.NBLAS","1",6,0.3126,69.80390384,0.164,0.00447825956434359,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"188","GUA.1.NBLAS","1",7,0.2265,45.93457982,0.158,0.00493092569666614,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"189","GUA.1.NBLAS","1",8,0.2272,55.99638381,0.16,0.00405740486333737,NA," nblas"," guam"," guamia","GUA.1.NBLAS.a"
"190","AID.1.NBLAS","1",1,0.3526,50.37681562,0.198,0.00699925145447294,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"191","AID.1.NBLAS","1",2,0.3613,58.24970096,0.188,0.00620260694982974,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"192","AID.1.NBLAS","1",3,0.3305,48.08279221,0.157,0.00687356088965367,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"193","AID.1.NBLAS","1",4,0.3077,55.07174897,0.181,0.00558725672881059,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"194","AID.1.NBLAS","1",5,0.2597,46.17075359,0.183,0.00562477282277341,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"195","AID.1.NBLAS","1",6,0.2177,38.42071087,0.178,0.00566621478547359,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"196","AID.1.NBLAS","1",7,0.275,56.90343045,0.172,0.00483274905968345,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"197","AID.1.NBLAS","1",8,0.3504,64.86378589,0.179,0.00540208985942063,NA," nblas"," guam"," aidia","AID.1.NBLAS.a"
"198","OCH.1.NBLAS","1",1,0.2043,42.35279221,0.277,0.00482376696646136,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"199","OCH.1.NBLAS","1",2,0.2215,36.17318182,0.311,0.00612332089287024,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"200","OCH.1.NBLAS","1",3,0.1651,31.98623377,0.272,0.00516159549095923,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"201","OCH.1.NBLAS","1",4,0.2297,38.50694805,0.308,0.00596515724127869,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"202","OCH.1.NBLAS","1",5,0.2874,56.36532468,0.256,0.00509887952622719,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"203","OCH.1.NBLAS","1",6,0.1475,29.23772727,0.287,0.00504485176422538,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"204","OCH.1.NBLAS","1",7,0.3202,48.68123377,0.322,0.00657748325592612,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"205","OCH.1.NBLAS","1",8,0.1298,24.37636364,0.31,0.00532483031172897,NA," nblas"," guam"," ochrosia","OCH.1.NBLAS.a"
"206","GUA.2.NBLAS","2",1,0.252,52.0213636363636,0.155,0.00484416367401505,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"207","GUA.2.NBLAS","2",2,0.2591,51.2047402597403,0.172,0.00506007839675963,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"208","GUA.2.NBLAS","2",3,0.2301,39.8988311688312,0.181,0.00576708623433945,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"209","GUA.2.NBLAS","2",4,0.207,52.6616883116883,0.151,0.00393075130396182,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"210","GUA.2.NBLAS","2",5,0.2945,58.9517532467532,0.157,0.00499561054218891,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"211","GUA.2.NBLAS","2",6,0.2742,48.1920779220779,0.158,0.00568973183607803,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"212","GUA.2.NBLAS","2",7,0.2105,35.0152597402597,0.161,0.00601166467310171,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"213","GUA.2.NBLAS","2",8,0.1616,50.9014285714286,0.183,0.00317476354859532,NA," nblas"," guam"," guamia","GUA.2.NBLAS.a"
"214","MOR.1.GP","1",1,0.92089,423.2138594,0.106,0.00217594480791713,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"215","MOR.1.GP","1",2,1.7015,518.2069435,0.125,0.00328343728570669,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"216","MOR.1.GP","1",3,1.4908,421.8611664,0.15,0.0035338640262196,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"217","MOR.1.GP","1",4,1.5207,568.7317903,0.145,0.00267384385036371,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"218","MOR.1.GP","1",5,0.7735,355.525885,0.114,0.00217565030461847,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"219","MOR.1.GP","1",6,1.4145,433.5400855,0.145,0.00326267408091841,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"220","MOR.1.GP","1",7,0.7495,339.107651,0.13,0.00221021259116327,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"221","MOR.1.GP","1",8,1.2151,493.6722639,0.13,0.00246134954068664,NA," gravel_pit"," rota"," morinda","MOR.1.GP.a"
"222","OCH.2.PAL","2",1,0.3374,NA,0.252,NA,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"223","OCH.2.PAL","2",2,0.2073,41.8755186721992,0.203,0.00495038644470868,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"224","OCH.2.PAL","2",3,0.2978,50.8810152503099,0.229,0.00585287063426248,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"225","OCH.2.PAL","2",4,0.3592,64.5072748827936,0.24,0.00556836419849774,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"226","OCH.2.PAL","2",5,0.1035,25.4485099962278,0.19,0.00406703575240128,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"227","OCH.2.PAL","2",6,0.3802,67.7928162415409,0.254,0.00560826384089687,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"228","OCH.2.PAL","2",7,0.3244,57.1958801219603,0.216,0.00567173718296271,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"229","OCH.2.PAL","2",8,0.1979,43.5539060757046,0.208,0.0045437945257083,NA," palii"," rota"," ochrosia","OCH.2.PAL.a"
"230","MEL.1.PAL","1",1,1.0982,333.1495171,0.084,0.0032964178053134,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"231","MEL.1.PAL","1",2,0.8872,269.6356302,0.141,0.00329036633378878,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"232","MEL.1.PAL","1",3,0.5504,153.1143618,0.086,0.00359469871754382,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"233","MEL.1.PAL","1",4,0.5378,147.9647094,0.083,0.00363465046618745,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"234","MEL.1.PAL","1",5,0.4713,181.138892,0.045,0.00260187083401173,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"235","MEL.1.PAL","1",6,0.4556,171.1421391,0.077,0.0026621146749474,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"236","MEL.1.PAL","1",7,0.9118,376.9688696,0.079,0.00241876736656665,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"237","MEL.1.PAL","1",8,0.9431,NA,0.105,NA,NA," palii"," rota"," melanolepis","MEL.1.PAL.a"
"238","OCH.3.PAL","3",1,0.3206,40.8098723310588,0.267,0.00785594224356355,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"239","OCH.3.PAL","3",2,0.3774,63.8245377503852,0.243,0.00591308630351533,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"240","OCH.3.PAL","3",3,0.4129,70.4271131410962,0.244,0.00586279887935746,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"241","OCH.3.PAL","3",4,0.4161,64.4025148580233,0.267,0.0064609278211775,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"242","OCH.3.PAL","3",5,0.3056,50.7001155624037,0.255,0.00602759967329572,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"243","OCH.3.PAL","3",6,0.3516,43.7711589258199,0.305,0.0080326865595646,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"244","OCH.3.PAL","3",7,0.3133,38.5646599163548,0.27,0.00812401822496386,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"245","OCH.3.PAL","3",8,0.2516,30.410411622276,0.292,0.00827348222461085,NA," palii"," rota"," ochrosia","OCH.3.PAL.a"
"246","PSY.1.NAF","1",1,0.201,25.88103896,0.262,0.00776630336636223,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"247","PSY.1.NAF","1",2,0.1865,19.84623377,0.29,0.00939724897738116,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
"248","PSY.1.NAF","1",3,0.2178,23.64554113,0.303,0.00921103893552551,NA," naftan"," saipan"," psychotria","PSY.1.NAF.a"
