"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize","webarea","websize_c"
"saipan","Forbi","G'U","g","u","yes","no","27-Jul-2013","29-Jul-2013","no","yes",55,0.237582944427728,3.2967032967033
"saipan","LADT","H'A","h","a","no","no","30-Jul-2013","31-Jul-2013","no","yes",55,0.237582944427728,3.2967032967033
"saipan","LADT","H'E","h","e","no","no","1-Aug-2013","2-Aug-2013","no","yes",55,0.237582944427728,3.2967032967033
"saipan","Forbi","H'Q","h","q","no","yes","1-Aug-2013","2-Aug-2013","no","no",55,0.237582944427728,3.2967032967033
"saipan","LADT","I'F","i","f","no","yes","1-Aug-2013","7-Aug-2013","no","no",55,0.237582944427728,3.2967032967033
"saipan","Forbi","I'L","i","l","yes","no","5-Aug-2013","6-Aug-2013","no","yes",54,0.229022104446696,2.2967032967033
"guam","Nblas","A'M","a","m","yes","no","24-Jun-2013","28-Jun-2013","no","yes",54,0.229022104446696,2.2967032967033
"saipan","LADT","H'C","h","c","no","no","30-Jul-2013","31-Jul-2013","no","yes",53,0.220618344098343,1.2967032967033
"guam","Nblas","J'L","j","l","no","yes","7-Aug-2013","12-Aug-2013","no","no",53,0.220618344098343,1.2967032967033
"guam","Nblas","A'N","a","n","yes","no","24-Jun-2013","27-Jun-2013","no","yes",53,0.220618344098343,1.2967032967033
"saipan","Forbi","H'K","h","k","no","no","1-Aug-2013","2-Aug-2013","no","yes",52,0.21237166338267,0.296703296703299
"saipan","Forbi","G'T","g","t","yes","no","27-Jul-2013","31-Jul-2013","no","no",51,0.204282062299676,-0.703296703296701
"saipan","LADT","H'G","h","g","no","no","1-Aug-2013","2-Aug-2013","no","yes",51,0.204282062299676,-0.703296703296701
