species,disp,island,site,fence,numalive,date,observer,dataentry,dateenter,uniqueidsppfence,canopydate,north,east,south,west,avgcover,avgopen,doubleplant,plantdt,dist,soil,numseedplant,DDsurvival_notes,bird,age,centavgopen,Freq,area,dens_100m,seedsize,se_size,sd_size,n,regdens,se_abund.x,disp.y,regdenswd,se_abund.y
aglaia,yes,rota,grvpt,E2,7,7/17/11,KM,KW,3-May-13,grvptE2aglaia,14-Jun-11,93,91,89,90,90.75,9.25,no,11/23/10,near,soil,10,NA,yes,236,0.128630705,21,3600,58.33333333,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,grvpt,E3,7,7/17/11,KM,KW,3-May-13,grvptE3aglaia,14-Jun-11,95,89,91,92,91.75,8.25,no,11/23/10,far,soil,10,NA,yes,236,-0.871369295,21,3600,58.33333333,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,A2,3,7/20/11,OM,KW,19-Feb-13,isaA2aglaia,16-Jun-11,88,90,95,91,91,9,no,11/29/10,near,soil,10,NA,yes,233,-0.121369295,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,A4,7,7/20/11,OM,KW,19-Feb-13,isaA4aglaia,16-Jun-11,88,91,78,74,82.75,17.25,no,11/29/10,far,soil,10,NA,yes,233,8.128630705,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,B0,8,7/20/11,OM,KW,19-Feb-13,isaB0aglaia,16-Jun-11,54,83,81,81,74.75,25.25,no,11/29/10,near,karst,10,NA,yes,233,16.12863071,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,B2,6,7/20/11,OM,KW,19-Feb-13,isaB2aglaia,16-Jun-11,93,92,94,90,92.25,7.75,no,11/30/10,far,soil,10,NA,yes,232,-1.371369295,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,B4,7,7/20/11,OM,KW,19-Feb-13,isaB4aglaia,16-Jun-11,83,86,85,76,82.5,17.5,no,11/29/10,far,soil,10,NA,yes,233,8.378630705,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,C3,9,7/20/11,OM,KW,19-Feb-13,isaC3aglaia,16-Jun-11,84,85,91,90,87.5,12.5,no,11/30/10,near,karst,10,NA,yes,232,3.378630705,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,D2,8,7/20/11,OM,KW,19-Feb-13,isaD2aglaia,16-Jun-11,95,89,90,94,92,8,no,11/29/10,far,karst,10,NA,yes,233,-1.121369295,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,isa,D3,7,7/20/11,OM,KW,19-Feb-13,isaD3aglaia,16-Jun-11,90,89,90,93,90.5,9.5,no,11/30/10,near,soil,10,NA,yes,232,0.378630705,126,3600,350,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,A2,9,7/18/11,OM,KW,8-Mar-13,paliiA2aglaia,14-Jun-11,89,94,93,91,91.75,8.25,no,11/29/10,near,soil,10,NA,yes,231,-0.871369295,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,A3,10,7/18/11,OM,KW,8-Mar-13,paliiA3aglaia,14-Jun-11,85,91,86,90,88,12,no,11/29/10,far,mix,10,NA,yes,231,2.878630705,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,B0,7,7/18/11,OM,KW,8-Mar-13,paliiB0aglaia,14-Jun-11,92,95,92,92,92.75,7.25,no,11/29/10,near,karst,10,NA,yes,231,-1.871369295,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,B3,9,7/18/11,OM,KW,8-Mar-13,paliiB3aglaia,14-Jun-11,90,92,92,87,90.25,9.75,no,11/29/10,far,soil,10,NA,yes,231,0.628630705,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,C0,10,7/18/11,OM,KW,8-Mar-13,paliiC0aglaia,14-Jun-11,94,94,92,93,93.25,6.75,no,11/29/10,near,soil,10,NA,yes,231,-2.371369295,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,C1,8,7/18/11,OM,KW,8-Mar-13,paliiC1aglaia,14-Jun-11,94,92,91,94,92.75,7.25,no,11/29/10,near,soil,10,NA,yes,231,-1.871369295,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
aglaia,yes,rota,palii,C2,7,7/18/11,OM,KW,8-Mar-13,paliiC2aglaia,14-Jun-11,91,94,94,92,92.75,7.25,no,11/29/10,far,mix,10,NA,yes,231,-1.871369295,44,3600,122.2222222,179.1955,8.262894501,26.12956669,10,133.2607117,38.65835572,yes,133.2607117,38.65835572
