"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
NA,NA,NA,NA,1881,NA,NA,"Italy",NA,NA,38.25,15.63,38.25,15.63
"300",NA,NA,"300",1881,NA,NA,"Italy",NA,NA,37.48,15.1,37.48,15.1
NA,NA,NA,NA,1881,NA,NA,"Italy",NA,NA,42.27,11.55,42.27,11.55
"529",NA,NA,"529",1882,4,13,"Croatia",NA,NA,44.82,14.35,44.82,14.35
"300",NA,NA,"300",1882,5,22,"Italy","tuna trap",NA,39.18,8.31,39.18,8.31
NA,NA,NA,NA,1882,NA,NA,"Algeria",NA,NA,36.76,3.09,36.76,3.09
NA,NA,NA,NA,1882,NA,NA,"Italy",NA,NA,43.9,14.88,43.9,14.88
"430",NA,NA,"430",1883,1,NA,"Italy",NA,NA,44.3,9.21,44.3,9.21
"450",1200,"1200","ca. 450",1883,1,NA,"Italy",NA,NA,44.3,9.22,44.3,9.22
NA,NA,NA,NA,1883,4,25,"Italy",NA,NA,42.83,10.33,42.83,10.33
NA,1336,"1336",NA,1883,5,7,"Italy","harpoon",NA,38.26,15.72,38.26,15.72
"300",NA,NA,"300",1883,6,13,"Croatia",NA,NA,43.18,16.69,43.18,16.69
"396",NA,NA,"396",1883,9,26,"Croatia",NA,NA,44.75,14.76,44.75,14.76
"300",NA,NA,"300",1885,NA,NA,"Italy",NA,NA,37.48,15.1,37.48,15.1
"400",NA,NA,"400",1885,9,14,"Italy",NA,NA,45.73,13.68,45.73,13.68
"660",NA,NA,"1000 (450-530)",1885,NA,NA,"Italy","tuna trap",NA,43,10.51,43,10.51
"560",NA,NA,"560",1886,3,3,"Croatia",NA,NA,42.97,17.16,42.97,17.16
"601",2000,"2000","> 600",1886,NA,NA,"Italy","net",NA,43,10.51,43,10.51
"900",NA,NA,"800-1000",1886,NA,NA,"Italy","tuna trap",NA,42.92,10.52,42.92,10.52
"470",NA,NA,"470",1887,9,2,"Croatia",NA,NA,45,14.59,45,14.59
"470",NA,NA,"470",1888,7,NA,"Croatia",NA,NA,44.93,14.92,44.93,14.92
"250.5",NA,NA,"250.5",1888,NA,NA,"France",NA,NA,43.53,4.09,43.53,4.09
NA,NA,NA,NA,1889,1,NA,"Italy",NA,NA,38.21,13.27,38.21,13.27
"500",1500,"1500","500",1889,10,15,"France",NA,NA,43.1,5.88,43.1,5.93
"400",NA,NA,"400",1889,10,NA,"France","net",NA,43.08,5.8,43.08,5.8
NA,NA,NA,NA,1889,NA,NA,"France",NA,NA,43.09,5.93,43.09,5.93
NA,NA,NA,NA,1890,4,25,"Malta",NA,NA,35.85,14.58,35.85,14.58
NA,NA,NA,NA,1891,4,26,"Croatia",NA,NA,44.45,15.05,44.45,15.05
"1002.5",4000,"4000","1000 or 1005",1891,9,NA,"Italy",NA,NA,42.71,15.82,42.71,15.82
"600",600,"600 (gutted)","600",1891,12,10,"Italy",NA,NA,44.14,9.65,44.14,9.65
"450",NA,NA,"450",1892,9,NA,"Croatia",NA,NA,45.28,14.57,45.28,14.57
"401",1500,"1500",">400",1892,12,NA,"Italy",NA,NA,38.23,13.32,38.23,13.32
NA,NA,NA,NA,1892,NA,NA,"France",NA,NA,43.68,7.27,43.68,7.27
NA,NA,NA,NA,1892,NA,NA,"France",NA,NA,43.1,5.92,43.1,5.92
"500",NA,NA,"500",1892,NA,NA,"Italy",NA,NA,38.25,15.63,38.25,15.63
"165",NA,NA,"165",1893,2,19,"Croatia",NA,NA,43.7,15.83,43.7,15.83
"493.3",1125,"Ca. 1125","460",1893,8,NA,"Italy","harpoon",NA,38.23,15.58,38.23,15.58
NA,NA,NA,NA,1893,NA,NA,"Italy",NA,NA,37.41,15.12,37.41,15.12
"550",1000,"1000","550",1893,8,NA,"Italy",NA,NA,42.82,10.43,42.82,10.43
"490",NA,NA,"490",1893,NA,NA,"Italy",NA,NA,45.39,13.03,45.39,13.03
