"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
NA,NA,NA,NA,1984,NA,NA,"Italy",NA,NA,42.81,10.2,42.81,10.2
"500",NA,NA,"Ca. 500",1984,NA,NA,"Italy","tuna trap",NA,38.07,12.82,38.07,12.82
NA,NA,NA,NA,1984,NA,NA,NA,"longline",NA,34.57,18.03,34.57,18.03
NA,NA,NA,NA,1984,NA,NA,"Spain","gillnets (Swordfish)",NA,37.61,0.74,37.61,0.74
"500",NA,NA,"ca. 500",1985,5,NA,"Turkey",NA,NA,40.53,27.85,40.53,27.85
"220",NA,NA,"220",1985,6,25,"Italy",NA,NA,37.64,12.59,37.64,12.59
"140",NA,NA,"ca. 140",1985,9,NA,"Italy","net",NA,37.64,12.58,37.64,12.58
"190",NA,NA,"190",1985,4,NA,"Tunisia",NA,NA,37.09,11.03,37.09,11.03
"609.5",NA,NA,"601-618",1985,NA,NA,"Greece",NA,NA,39.96,23.68,39.96,23.68
"500",NA,NA,"Ca. 500",1986,3,NA,"Italy","tuna trap",NA,36.83,11.92,36.83,11.92
"200",170,"170","200",1986,3,NA,"Italy","net",NA,37.64,12.58,37.64,12.58
"350",NA,NA,"Ca. 350 (est)",1986,3,18,"Spain",NA,NA,36.01,-5.61,35.92,-5.47
"335.5",NA,NA,"Ca. 305-366",1986,7,NA,"Italy",NA,NA,36.79,14.49,36.78,14.55
"600",NA,NA,"Ca. 600",1986,9,NA,"Italy",NA,NA,44.2,12.4,44.17,12.89
"550",NA,NA,"Ca. 500-600",1986,12,4,"France",NA,NA,43.28,5.29,43.28,5.29
"601.4",2870,"2730 or 2880 or 3000","530 or 668-681 or 714",1987,4,17,"Malta","longlines",NA,35.79,14.41,35.79,14.41
"600",NA,NA,"Ca. 600",1987,4,NA,"Malta",NA,NA,35.83,14.39,35.83,14.39
"535",2000,"2000","535",1987,5,8,"Italy","tuna trap",NA,37.94,12.28,37.94,12.33
"450",NA,NA,"450",1987,5,8,"Italy","tuna trap",NA,37.94,12.28,37.94,12.33
NA,NA,NA,NA,1987,6,NA,"Italy",NA,NA,38.25,15.71,38.25,15.71
NA,NA,NA,NA,1987,7,31,"Italy",NA,NA,38.26,15.61,38.26,15.61
NA,NA,NA,NA,1987,8,NA,"Croatia",NA,NA,43.72,15.85,43.72,15.85
"601",NA,NA,">600",1987,9,NA,"Italy",NA,NA,43.93,12.91,43.93,12.91
NA,NA,NA,NA,1987,12,3,"Italy",NA,NA,42.81,10.2,42.81,10.2
"450",NA,NA,"Ca. 450",1988,5,NA,"Italy",NA,NA,43.51,13.63,43.62,13.76
NA,NA,NA,NA,1988,5,4,"Italy",NA,NA,37.38,13.31,37.38,13.31
NA,NA,NA,NA,1988,8,15,"Italy",NA,NA,42.79,10.24,42.79,10.24
"500",NA,NA,"Ca. 500",1988,8,17,"Italy",NA,NA,39.99,15.7,39.99,15.7
"551",NA,NA,">550",1988,9,9,"Italy",NA,NA,44.84,12.47,44.79,12.84
"220",165,"165","220",1988,7,NA,"Tunisia",NA,NA,34.19,10.74,34.19,10.74
NA,NA,NA,NA,1988,7,NA,"Tunisia",NA,NA,34.19,10.74,34.19,10.74
NA,NA,NA,NA,1989,1,13,"Italy",NA,NA,43,10.5,43,10.49
"601",NA,NA,">600",1989,2,2,"Italy",NA,NA,43.02,10.51,43.02,10.51
NA,NA,NA,NA,1989,4,10,"Italy",NA,NA,42.89,10.48,42.89,10.48
NA,NA,NA,NA,1989,4,NA,"Italy",NA,NA,43,10.51,43,10.51
NA,NA,NA,NA,1989,5,18,"Italy",NA,NA,42.89,10.48,42.89,10.48
"300",NA,NA,"300",1989,6,NA,"Italy",NA,NA,44.05,10.01,44.04,9.99
"550",NA,NA,"550",1989,6,NA,"Italy","gillnets (Swordfish)",NA,37.92,16.07,37.92,16.07
"501",NA,NA,">500",1989,6,23,"Italy",NA,NA,38.26,15.61,38.26,15.61
"300",NA,NA,"Ca. 300",1989,8,13,"Italy",NA,NA,37.91,12.29,37.91,12.29
"300",NA,NA,"Ca. 300",1989,8,13,"Italy",NA,NA,37.91,12.29,37.91,12.29
"300",NA,NA,"Ca. 300",1989,8,13,"Italy",NA,NA,37.91,12.29,37.91,12.29
"450",NA,NA,"Ca. 400-500",1989,9,19,"Italy",NA,NA,43.68,10.27,43.7,10.27
"501",NA,NA,"500+",1989,9,NA,"Italy",NA,NA,43.93,12.9,43.93,12.9
NA,NA,NA,NA,1989,10,7,"France",NA,NA,41.86,9.4,41.86,9.41
"251",200,"200","275",1989,11,1,"Italy","tuna gillnets",NA,41.24,9.14,41.24,9.14
"357",NA,NA,"± 400 (313)",1989,NA,NA,"Italy","tuna trap",NA,41.24,9.16,41.23,9.16
NA,NA,NA,NA,1989,NA,NA,"Italy",NA,NA,37.92,12.18,37.92,12.18
"620",2032,"2032","670 or 570",1989,4,1,"Tunisia",NA,NA,37.17,10.19,37.17,10.19
"401",NA,NA,">400",1989,NA,NA,"France",NA,NA,43.29,5.34,43.29,5.34
NA,NA,NA,NA,1990,5,15,"Italy",NA,NA,42.81,10.2,42.81,10.2
"1001",NA,NA,">1000",1990,5,25,"Italy",NA,NA,38.26,15.75,38.26,15.75
"520",NA,NA,"Ca. 520",1990,8,25,"Italy","tuna net",NA,37.56,12.66,37.56,12.66
NA,NA,NA,NA,1990,NA,NA,"France",NA,NA,43.21,3.24,43.21,3.24
"401",NA,NA,">400",1990,NA,NA,"Italy",NA,NA,43.53,10.28,43.53,10.28
"400",NA,NA,"ca. 400",1990,NA,NA,"Italy",NA,NA,38.12,13.39,38.12,13.39
NA,NA,NA,NA,1990,NA,NA,"Italy",NA,NA,43,10.51,43,10.51
NA,NA,NA,NA,1990,NA,NA,"Italy",NA,NA,43.53,10.28,43.53,10.28
NA,NA,NA,NA,1990,NA,NA,"France",NA,NA,43.39,3.7,43.39,3.7
NA,NA,NA,NA,1991,1,NA,"France",NA,NA,43.44,7.19,43.44,7.19
"506.5",2000,"Ca. 2000","450, 591 or 600",1991,1,NA,"France","bottom trawl",NA,43.38,3.7,43.29,3.8
"600",NA,NA,"Ca. 600",1991,2,10,"Greece","longline",NA,39.63,19.93,39.63,19.93
"525",3250,"3000 or 3500","ca. 500 or 550",1991,3,18,"Turkey","purse seine",NA,38.67,26.74,38.67,26.74
"400",NA,NA,"400",1991,6,NA,"Italy","tuna trap",NA,37.66,12.59,37.66,12.54
"400",NA,NA,"ca. 400",1991,7,30,"Italy",NA,NA,44.33,9.22,44.33,9.22
"495",NA,NA,"490-500",1991,7,20,"Italy",NA,NA,37.16,12.09,37.16,12.09
NA,NA,NA,NA,1991,8,24,"Italy",NA,NA,41.25,9.19,41.25,9.19
"601",NA,NA,">600",1991,8,NA,"Italy",NA,NA,43.96,12.74,43.95,12.83
"210",180,"180","210",1991,12,17,"Italy","net",NA,43.57,14.6,43.57,14.6
NA,NA,NA,NA,1991,NA,NA,"Italy","net",NA,43.84,14.87,43.84,14.87
NA,NA,NA,NA,1991,NA,NA,"Italy","net",NA,43.86,14.87,43.86,14.87
"230",190,"180 or 200","230",1992,3,18,"Italy","net",NA,42,15.01,42,15.01
"299",NA,NA,">300",1992,3,18,"Italy","net",NA,42,15.01,42,15.01
"299",NA,NA,">300",1992,3,18,"Italy","net",NA,42,15.01,42,15.01
"299",NA,NA,">300",1992,3,18,"Italy","net",NA,42,15.01,42,15.01
"500",NA,NA,"500",1992,7,NA,"Spain",NA,NA,39.54,2.38,39.54,2.38
"500",NA,NA,"500",1992,7,NA,"Spain",NA,NA,39.54,2.38,39.54,2.38
"475",1000,"1000","475",1992,11,17,"Spain",NA,NA,41.72,2.94,41.67,2.8
"515",NA,NA,"500 or 530",1992,NA,NA,"Italy",NA,NA,36.78,11.94,36.78,11.94
"501",NA,NA,"500+",1992,9,NA,"Tunisia",NA,NA,37.03,10.9,37.03,10.9
"435",NA,NA,"435",1992,12,14,"Tunisia","purse seine",NA,34.2,10.74,34.13,11.66
NA,NA,NA,NA,1993,8,NA,"Croatia",NA,NA,44.86,14.47,44.86,14.47
NA,NA,NA,NA,1993,8,NA,"Croatia",NA,NA,44.67,14.32,44.67,14.32
"140",NA,NA,"140",1993,5,NA,"Italy","tuna trap",NA,37.94,12.28,37.94,12.34
NA,NA,NA,NA,1993,5,NA,"Italy",NA,NA,37.91,12.33,37.91,12.33
"299",NA,NA,"294-304",1993,6,NA,"Italy","tuna trap",NA,39.21,8.38,39.18,8.37
"501",NA,NA,">500",1993,8,18,"Malta",NA,NA,35.91,14.52,35.91,14.52
"520",NA,NA,"520",1993,8,25,"Italy","tuna trap",NA,37.57,12.68,37.57,12.65
"500",NA,NA,"500",1993,8,NA,"Croatia","net",NA,43.72,15.85,43.72,15.85
"135",NA,NA,"135",1993,11,NA,"Italy",NA,NA,37.64,12.58,37.64,12.58
NA,NA,NA,NA,1993,NA,NA,"France",NA,NA,41.44,7.93,43.16,8.07
NA,NA,NA,NA,1993,NA,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1993,NA,NA,"Italy","net",NA,36.68,15.14,43.72,15.85
"450",NA,NA,"Ca. 450",1993,NA,NA,"Italy",NA,NA,42.18,15.63,42.18,15.63
"501",NA,NA,"500+",1993,NA,NA,"Cyprus",NA,NA,34.75,32.41,34.75,32.4
"425",NA,NA,"425",1993,2,18,"Tunisia","purse seine",NA,34.2,10.76,34.2,10.76
"600",NA,NA,"Ca. 600",1993,8,NA,"Tunisia",NA,NA,37.78,10.82,37.78,10.82
NA,NA,NA,NA,1994,8,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1994,8,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1994,8,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1994,8,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1994,8,NA,"Italy",NA,NA,35.58,12.24,35.58,12.24
NA,NA,NA,NA,1994,NA,NA,"Croatia",NA,NA,43.24,16.71,43.24,16.71
"600",NA,NA,"ca. 600",1995,2,NA,"France",NA,NA,41.96,8.59,41.96,8.59
NA,NA,NA,NA,1995,6,25,"Italy",NA,NA,42.93,10.74,42.93,10.74
"500",NA,NA,"ca. 500",1995,6,NA,"Italy",NA,NA,38.82,15.25,38.82,15.25
NA,NA,NA,NA,1995,NA,NA,"Italy",NA,NA,43.53,10.28,43.53,10.28
"550",NA,NA,"550",1996,3,NA,"Turkey","purse seine",NA,39.85,26.01,39.85,26.01
"450",NA,NA,"400-500",1996,9,15,"Italy",NA,NA,40.67,17.95,40.68,17.95
NA,NA,NA,NA,1996,NA,NA,"Italy",NA,NA,40.59,8.19,40.59,8.19
"350",NA,NA,"± 350",1996,NA,NA,"Italy",NA,NA,41.24,9.14,41.24,9.14
NA,NA,NA,NA,1997,6,NA,"Italy",NA,NA,39.29,8.43,39.29,8.43
"400",NA,NA,"400",1997,6,11,"Italy",NA,NA,38.54,14.84,38.54,14.84
NA,NA,NA,NA,1997,7,5,"Spain",NA,NA,38.86,2.27,39.43,2.18
NA,NA,NA,NA,1997,9,30,"Italy",NA,NA,39.02,8.47,39.02,8.47
"300",NA,NA,"Ca. 300",1997,NA,NA,"Italy",NA,NA,37.57,12.66,37.57,12.75
"200",NA,NA,"Ca. 200",1997,NA,NA,"Italy","net",NA,36.27,12.66,36.27,12.66
"425",NA,NA,"425",1997,2,9,"Tunisia","purse seine",NA,34.2,10.76,34.2,10.76
"179",NA,NA,"179",1997,2,26,"Tunisia","trawl",NA,34.2,10.76,34.2,10.76
"170",NA,NA,"170",1997,12,25,"Tunisia","trawl",NA,34.2,10.76,34.2,10.76
NA,NA,NA,NA,1998,3,21,"Spain",NA,NA,38.73,2.29,39.33,2.2
"450",NA,NA,"ca. 450",1998,4,NA,"Turkey",NA,NA,40.23,25.83,40.23,25.83
NA,NA,NA,NA,1998,6,13,"Spain",NA,NA,38.66,2.29,39.39,2.14
NA,NA,NA,NA,1998,6,29,"Malta",NA,NA,35.95,14.46,35.95,14.46
"150",NA,NA,"150",1998,8,14,"Italy",NA,NA,35.49,12.64,35.49,12.64
NA,NA,NA,NA,1998,8,2,"Croatia",NA,NA,42.73,17.5,42.73,17.5
"550",1200,"Ca. 1200","Ca. 500-600",1998,8,27,"Italy",NA,NA,43.72,13.23,43.72,13.23
NA,NA,NA,NA,1998,9,8,"Spain",NA,NA,38.74,2.28,39.38,2.19
"600",NA,NA,"Ca. 600",1998,9,8,"Italy",NA,NA,38.62,15.83,38.62,15.83
NA,NA,NA,NA,1998,9,4,"Croatia",NA,NA,42.64,18.1,42.64,18.1
"700",NA,NA,"Ca. 700",1998,12,27,"Italy",NA,NA,43.02,10.51,43.02,10.51
NA,NA,NA,NA,1998,NA,NA,"Spain","longline",NA,35.96,-3.25,35.96,-3.25
"150",NA,NA,"150",1998,NA,NA,"Algeria",NA,NA,36.82,3.3,36.82,3.3
"250",225,"Ca. 225","Ca. 250",1998,5,26,"Tunisia","tuna trap",NA,37.02,10.91,37.05,10.9
NA,NA,NA,NA,1998,NA,NA,"France",NA,NA,43.54,7.12,43.55,7.11
"500",NA,NA,"ca. 500",1999,5,NA,"Turkey",NA,NA,40.32,26.22,40.33,26.22
"450",NA,NA,"Ca. 400-500",1999,8,NA,"Greece",NA,NA,39.84,19.41,39.84,19.41
"400",NA,NA,"Ca. 400",1999,9,NA,"Italy",NA,NA,40.57,8.31,40.57,8.31
"600",NA,NA,"Ca. 600",1999,9,26,"Italy",NA,NA,42.76,13.98,42.76,13.98
"600",NA,NA,"600",1999,9,24,"Italy",NA,NA,42.96,13.89,42.96,13.89
"650",NA,NA,"Ca. 600-700",1999,10,24,"Italy",NA,NA,44.32,9.14,44.32,9.14
"450",NA,NA,"Ca. 400-500",1999,10,19,"Italy",NA,NA,37.28,12.28,37.29,12.28
"700",NA,NA,"Ca. 700",1999,10,NA,"Italy",NA,NA,42.76,13.97,42.76,13.97
"500",NA,NA,"Ca. 500",1999,11,2,"Italy",NA,NA,37.24,15.23,37.25,15.25
"600",NA,NA,"± 600",1999,NA,NA,"Italy","tuna trap",NA,40.94,8.22,41.03,8.27
NA,NA,NA,NA,1999,NA,NA,"Italy",NA,NA,40.04,11.35,40.04,11.35
"429",NA,NA,"429",2000,NA,NA,NA,"longline",NA,33.82,27.7,33.82,27.7
"500",NA,NA,"Ca. 500",2000,4,29,"Italy",NA,NA,45.5,12.65,45.5,12.65
"429",500,"500","429",2000,4,NA,"Libya","drift longline",NA,32.69,24.83,32.69,24.83
"500",NA,NA,"Ca. 500",2000,5,NA,NA,NA,NA,34.52,18.05,34.52,18.05
NA,NA,NA,NA,2000,7,23,"Spain",NA,NA,38.61,2.29,39.35,2.15
"200",120,"120","200",2000,7,NA,"Italy","hook and line",NA,42.36,10.93,42.36,10.93
"200",120,"120","200",2000,7,NA,"Italy",NA,NA,42.36,10.93,42.36,10.93
NA,NA,NA,NA,2000,8,9,"Spain",NA,NA,38.69,2.28,39.34,2.14
"750",NA,NA,"700-800",2000,8,13,"Italy",NA,NA,42.4,11.21,42.4,11.21
"400",NA,NA,"Ca. 400 (est)",2000,10,NA,"Spain",NA,NA,39.16,2.93,39.16,2.93
"600",NA,NA,"600",2000,NA,NA,"Croatia",NA,NA,45.23,13.59,45.23,13.59
NA,NA,NA,NA,2000,NA,NA,"Italy",NA,NA,39.79,18.35,39.79,18.35
"675",NA,NA,"650-700",2001,2,11,"Italy",NA,NA,42.07,11.81,42.07,11.81
NA,NA,NA,NA,2001,3,3,"Spain",NA,NA,38.74,2.29,39.37,2.18
NA,NA,NA,NA,2001,4,19,"Spain",NA,NA,38.65,2.29,39.4,2.25
"550",NA,NA,"Ca. 500-600",2001,4,13,"Italy",NA,NA,40.69,17.87,40.7,17.87
"100",NA,NA,"Ca. 100",2001,5,14,"Italy",NA,NA,38.26,15.61,38.26,15.61
"575",NA,NA,"Ca. 550-600",2001,7,30,"Italy",NA,NA,43.64,13.39,43.64,13.39
"400",NA,NA,"Ca. 400",2001,8,29,"Italy",NA,NA,39.14,9.39,39.14,9.39
"655",NA,NA,"Ca. 630-680",2001,10,6,"France",NA,NA,43.24,5.31,43.24,5.32
"490",2200,"2200","490",2001,4,23,"Tunisia","tuna trap",NA,37.02,10.91,37.05,10.9
"520",2250,"2250","520",2001,4,27,"Tunisia","tuna trap",NA,37.02,10.91,37.05,10.9
"400",NA,NA,"Ca. 400 ca.",2002,6,20,"France",NA,NA,43.68,7.33,43.68,7.34
"400",NA,NA,"Ca. 400",2002,6,29,"Italy",NA,NA,38.26,15.61,38.26,15.61
"500",NA,NA,"Ca. 500",2002,6,12,"Libya","tuna tow cage",NA,33.83,13.83,33.83,13.83
"750",NA,NA,"Ca. 700-800",2002,9,9,"Italy",NA,NA,43.18,13.81,43.18,13.81
"450",NA,NA,"Ca. 400-500",2002,10,7,"Italy",NA,NA,43.31,10.33,43.31,10.33
"570",2500,"2500","570",2003,6,24,"Croatia","tuna purse seine",NA,43.08,15.46,43.08,15.46
"350",400,"400","350",2003,9,26,"Italy",NA,NA,37.99,15.41,37.99,15.41
NA,NA,NA,NA,2003,9,26,"Italy",NA,NA,37.99,15.41,37.99,15.41
NA,NA,NA,NA,2004,NA,NA,"Italy",NA,NA,44.97,12.56,44.97,12.56
"587",2000,"2000","587",2004,2,26,"Tunisia","purse seine",NA,34.4,10.9,34.4,10.9
"350",NA,NA,"350",2005,4,28,"Italy",NA,NA,41.22,9.54,41.22,9.54
NA,NA,NA,NA,2005,NA,NA,"Algeria",NA,NA,36.83,3.41,36.83,3.41
NA,NA,NA,NA,2005,NA,NA,"Greece","swordfish longline",NA,39.61,23.01,39.61,23.01
"401",NA,NA,">400",2006,5,5,"Italy",NA,NA,35.48,12.56,35.48,12.56
"600",NA,NA,"Ca. 500-700",2006,6,10,"Italy",NA,NA,43.44,9.9,43.44,9.9
"150",NA,NA,"150",2006,7,4,"Italy",NA,NA,35.52,12.51,35.45,12.41
NA,NA,NA,NA,2006,NA,NA,"Italy",NA,NA,39.28,16.02,39.28,16.02
NA,350,"Ca. 350",NA,2006,4,20,"Tunisia","net",NA,33.5,11.13,33.5,11.13
"300",NA,NA,"Ca. 300",2007,5,13,"Italy",NA,NA,39.15,8.31,39.18,8.32
"250",NA,NA,"250",2007,6,1,"Italy",NA,NA,38.78,16.14,38.78,16.14
"274.4",NA,NA,"300",2007,6,10,"Italy",NA,NA,39.17,8.24,39.17,8.24
"500",NA,NA,"ca.500 (est)",2007,9,22,"Italy",NA,NA,37.16,12.1,37.16,12.1
"475",NA,NA,"Ca. 450-500",2008,10,6,"Croatia",NA,NA,43.06,16.26,43.06,16.26
NA,NA,NA,NA,2008,NA,NA,"Algeria","trawl",NA,35.11,-1.88,35.11,-1.88
NA,NA,NA,NA,2008,7,3,"Italy",NA,NA,38.69,16.56,38.69,16.56
"125.5",30,"30","125.5",2008,7,1,"Turkey","gill net",NA,39.56,26.75,39.56,26.8
"145",NA,NA,"145",2008,7,4,"Turkey","gill net",NA,39.56,26.75,39.56,26.8
NA,NA,NA,NA,2008,7,10,"Italy",NA,NA,37.49,12.25,37.49,12.25
"450",NA,NA,"Ca. 400-500",2008,8,NA,"France",NA,NA,41.91,8.77,41.91,8.77
"420",1500,"Ca. 1500","420",2008,NA,NA,"Tunisia",NA,NA,35.23,11.17,35.23,11.17
"180",47,"47.5","180",2009,2,21,"Turkey","trawl",NA,40.17,25.99,40.17,25.99
"300",102,"102","300",2009,4,15,"Turkey","purse seine",NA,40.05,26.3,40.05,26.3
NA,NA,NA,NA,2009,4,30,"Italy",NA,NA,41.16,9.46,41.16,9.46
"450",NA,NA,"Ca. 400-500",2009,8,NA,"France",NA,NA,41.67,8.83,41.67,8.83
NA,NA,NA,NA,2009,8,16,"Italy",NA,NA,37.9,15.73,37.91,15.76
"400",NA,NA,"400",2009,10,1,"Italy",NA,NA,40.94,8.17,40.94,8.17
"601",NA,NA,">600",2009,12,NA,"France",NA,NA,42.04,9.01,42.61,7.31
"160",NA,NA,"160",2009,NA,NA,"Turkey",NA,NA,NA,NA,39.48,26.06
"200",NA,NA,"ca. 200",2009,NA,NA,"Turkey",NA,NA,NA,NA,39.49,26.75
NA,NA,NA,NA,2009,NA,NA,"Italy",NA,NA,40.57,8.31,40.57,8.31
"480",1426,"1426","480",2009,10,18,"Tunisia","tuna cage",NA,35.39,11.05,35.39,11.05
"398",NA,NA,NA,2009,10,20,"Tunisia","tuna cage",NA,35.41,11.08,35.41,11.08
"400",NA,NA,"350-450",2010,4,NA,"France",NA,NA,41.93,8.75,41.93,8.75
NA,NA,NA,NA,2010,6,14,"Turkey",NA,NA,NA,NA,39.5,26.69
"230",NA,"60","230",2010,6,21,"Turkey",NA,NA,NA,NA,39.8,26.01
"90",NA,NA,"ca. 80-100",2010,6,NA,"Turkey","gill net",NA,39.51,26.78,39.51,26.78
"90",NA,NA,"ca. 80-100",2010,6,NA,"Turkey","gill net",NA,39.51,26.78,39.51,26.78
"90",NA,NA,"ca. 80-100",2010,6,NA,"Turkey","gill net",NA,39.5,26.78,39.5,26.78
NA,NA,NA,NA,2010,8,29,"Italy",NA,NA,40.57,8.31,40.57,8.31
"160",NA,NA,"160",2010,8,NA,"Italy","trawl",NA,35.52,12.34,35.52,12.48
"700",2000,"<2000KG","700m",2010,7,7,"Tunisia","net of aquaculture",NA,35.41,11.08,35.41,11.08
"415",NA,NA,"Ca. 400-430",2011,6,21,"Italy",NA,NA,43.05,9.84,43.05,9.84
"85",12,"12","85",2011,7,6,"Turkey","trammel-net",NA,39.48,26.66,39.48,26.66
"217",NA,NA,"217",2011,8,5,"Montenegro","net",NA,42.1,19.08,42.1,19.08
"500",NA,NA,"ca. 500",2011,9,28,"Turkey",NA,NA,36.83,28.27,36.83,28.27
"400",NA,NA,"ca. 400",2011,10,10,"France",NA,NA,42.56,8.77,42.56,8.77
NA,NA,NA,"350",2011,10,25,"Italy",NA,NA,38.99,9.02,38.99,9.02
"350",NA,NA,"350",2011,7,NA,"Tunisia","purse seine",NA,35.39,11.05,35.39,11.05
NA,NA,NA,NA,2012,8,3,"France",NA,NA,43.28,6.64,43.27,6.63
"190",150,"ca. 100 (200)","180-200",2012,8,30,"France","trammel net",NA,42.49,8.59,42.49,8.59
NA,1900,"1900",NA,2012,12,3,"Tunisia","tuna net",NA,36.04,10.51,36.14,10.7
"200",50,"50","ca. 200",2013,5,7,"Turkey",NA,NA,NA,NA,40.13,26.38
NA,NA,NA,NA,2013,9,9,"Morocco",NA,NA,35.24,-2.83,35.24,-2.83
"220",180,"180","220",2013,5,13,"Tunisia","longline",NA,37.04,11.07,NA,NA
"400",1500,"1500","400",2013,10,19,"Tunisia","net",NA,35.39,11.05,35.39,11.05
"120",NA,NA,"120",2014,8,8,"Greece","gillnets",NA,36.83,25.37,36.83,25.37
"200",60,"60","200",2014,8,22,"Turkey",NA,NA,40.15,26.4,40.15,26.4
"150",40,"40","ca. 150",2014,8,21,"Turkey",NA,NA,NA,NA,38.43,27.01
"200",40,"40","200 ca.",2014,9,19,"Turkey","stationary net for lobster fishing",NA,38.75,26.84,38.76,26.85
"200",NA,NA,"200",2015,2,20,"Greece",NA,NA,40.08,25.22,40.08,25.22
"300",NA,NA,"300",2015,3,15,"Algeria",NA,NA,35.31,-1.55,35.31,-1.55
"325",NA,NA,"ca. 300-350",2015,6,12,"Italy",NA,NA,37.28,13.56,37.28,13.56
"266",290,"290","266",2015,11,NA,"Italy","bottom trawl",NA,36.32,11.92,36.32,11.92
"200",35,"35","200",2015,12,23,"Italy","bottom nets",NA,35.5,12.58,35.5,12.58
NA,NA,NA,NA,2015,1,6,"Tunisia",NA,NA,35.82,10.65,35.82,10.65
"180",NA,NA,"180",2015,4,12,"Tunisia","longline",NA,37.43,10.15,37.43,10.15
"500",NA,"2000","500",2015,6,19,"Tunisia",NA,NA,NA,NA,NA,NA
"175",NA,NA,"175",2016,1,2,"Turkey","stationary net",NA,39.53,26.74,39.51,26.7
"160",40,"40","160",2016,6,9,"Greece","net",NA,37.38,24.94,37.38,24.94
NA,NA,NA,NA,2016,7,26,"Greece",NA,NA,37.45,25.32,37.45,25.32
"150",NA,"78kg","150",2016,5,16,"Tunisia","gillnet (garasica)",NA,33.44,11.31,NA,NA
NA,NA,NA,NA,2016,8,12,"Tunisia",NA,NA,35.25,11.43,NA,NA
"160",NA,NA,"160",2017,1,4,"Turkey",NA,NA,NA,NA,39.51,26.9
"180",NA,NA,"180",2017,1,NA,"Turkey","stationary net",NA,40.24,25.93,40.24,25.93
"200",NA,NA,"ca. 200",2017,2,27,"Turkey",NA,NA,NA,NA,36.71,27.88
NA,NA,NA,NA,2017,3,21,"Morocco",NA,NA,35.21,-3.79,35.22,-3.78
"160",NA,NA,"160",2017,4,4,"Turkey","gill net",NA,39.56,26.75,39.56,26.75
NA,NA,NA,NA,2017,5,14,"Italy",NA,NA,39.51,15.93,39.51,15.93
"200",60,"60","200",2017,6,4,"Turkey","purse seine",NA,37.34,27.29,37.34,27.29
"600",NA,NA,"600",2017,7,29,"Libya",NA,NA,35.05,12.79,35.05,12.79
"400",NA,NA,"400",2017,10,26,"Italy",NA,NA,44.23,13.08,44.23,13.08
NA,NA,NA,NA,2017,11,22,"Greece",NA,NA,38.26,24.77,38.26,24.77
"180",NA,"40","ca. 180",2017,NA,NA,"Turkey","gillnet",NA,NA,NA,40.56,26.59
"180",35,"35","ca. 180",2017,NA,NA,"Turkey",NA,NA,NA,NA,39.54,26.76
"200",NA,NA,"200",2017,9,NA,"Tunisia",NA,NA,NA,NA,NA,NA
"180",NA,NA,"180",2018,4,14,"Turkey","stationary net",NA,38.65,26.51,38.65,26.51
"200",NA,NA,"200",2018,5,30,"Italy",NA,NA,38.26,15.71,38.26,15.71
"230",135,"135","230",2018,5,16,"Libya","gillnet",NA,31.4,15.74,31.55,16.02
"200",NA,NA,NA,2018,7,28,"Turkey",NA,NA,NA,NA,38.49,26.81
NA,NA,NA,NA,2018,7,13,"Algeria",NA,NA,35.36,-1.3,35.36,-1.3
"200",70,"70","200",2018,8,12,"Greece",NA,NA,40.74,25.41,40.74,25.41
NA,NA,NA,NA,2018,4,28,"Tunisia",NA,NA,35.78,10.84,35.78,10.84
NA,760,"760",NA,2018,5,24,"Tunisia",NA,NA,33.9,10.86,33.9,10.86
NA,NA,NA,NA,2018,6,8,"Tunisia",NA,NA,NA,NA,NA,NA
"180",NA,NA,"< 180",2018,9,NA,"Tunisia",NA,NA,NA,NA,NA,NA
"280",400,"400","280",2018,12,26,"Tunisia","bottom trawl",NA,37.43,10.05,37.43,10.05
NA,NA,NA,"ca. 400-500",2019,9,30,"Italy",NA,NA,37.97,12.18,37.97,12.18
"500",NA,NA,"> 500",2019,NA,NA,"Turkey",NA,NA,NA,NA,40.24,25.86
"210",NA,NA,"210",2019,3,NA,NA,"gillnet",NA,NA,NA,NA,NA
"200",250,"250","200",2019,4,11,"Tunisia","bottom trawl",NA,37.35,10.13,37.35,10.13
"200",320,"320","200",2019,7,25,"Tunisia","net",NA,34.02,10.52,NA,NA
"400",500,"500","400",2020,1,12,"Libya",NA,NA,30.41,19.57,30.41,19.57
"520",NA,NA,"520",2020,1,12,"Libya",NA,NA,30.35,19.44,30.35,19.44
"600",NA,NA,"600",2020,4,23,"Libya","blast fishing",NA,32.4,20.34,32.4,20.34
"500",NA,NA,"500",2020,5,23,"Italy",NA,NA,35.47,12.56,35.47,12.56
NA,NA,NA,"155",2020,6,8,"Turkey","gill net",NA,40,26.24,40,26.24
"120",NA,NA,NA,2020,6,12,"Greece",NA,NA,37.17,25.38,37.17,25.38
